,tweet_id,timestamp,text,rating_numerator,rating_denominator,name,dog_stage,jpg_url,dog_list,confidence_level,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
0,685973236358713344,2016-01-09 23:55:38+00:00,This is Lorelei. She's contemplating her existence and the eventual heat death of the universe. 11/10 very majestic https://t.co/xbUoULOIS8,11.0,10.0,Lorelei,,https://pbs.twimg.com/media/CYURBGoWYAAKey3.jpg,Siberian_husky,0.450678,2066,513,8855832,17,Twitter for iPhone,Original tweet,https://t.co/xbUoULOIS8
1,686034024800862208,2016-01-10 03:57:12+00:00,Your fav crew is back and this time they're embracing cannabis culture. 12/10 for all https://t.co/oSvRDuMm1D,12.0,10.0,,,https://pbs.twimg.com/media/CYVIToGWQAAEZ_y.jpg,Great_Dane,0.23692,3023,1118,8855832,17,Twitter for iPhone,Original tweet,https://t.co/oSvRDuMm1D
2,686050296934563840,2016-01-10 05:01:51+00:00,This is Flávio. He's a Macedonian Poppycock. 97% floof. Jubilant af. 11/10 personally I'd pet the hell out of https://t.co/BUyX7isHRg,11.0,10.0,Flávio,,https://pbs.twimg.com/media/CYVXBb9WsAAwL3p.jpg,Pomeranian,0.985789,2182,712,8855832,17,Twitter for iPhone,Original tweet,https://t.co/BUyX7isHRg
3,686358356425093120,2016-01-11 01:25:58+00:00,Heartwarming scene here. Son reuniting w father after coming home from deployment. Very moving. 10/10 for both pups https://t.co/95JJevQOWW,10.0,10.0,,,https://pbs.twimg.com/media/CYZvRttWYAE_RXc.jpg,pug,0.985237,2146,653,8855832,17,Twitter for iPhone,Original tweet,https://t.co/95JJevQOWW
4,686386521809772549,2016-01-11 03:17:53+00:00,Say hello to Crimson. He's a Speckled Winnebago. Main passions are air hockey &amp; parkour. 11/10 would pet thoroughly https://t.co/J5aI7SjzDc,11.0,10.0,Crimson,,https://pbs.twimg.com/media/CYaI5aaW8AE8Uyk.jpg,Yorkshire_terrier,0.477704,3202,863,8855832,17,Twitter for iPhone,Original tweet,https://t.co/J5aI7SjzDc
5,686606069955735556,2016-01-11 17:50:18+00:00,"Meet Horace. He was practicing his levitation, minding his own business when a rogue tennis ball spooked him. 10/10 https://t.co/tB9xYjMyZd",10.0,10.0,Horace,,https://pbs.twimg.com/media/CYdQktMWsAEI29_.jpg,Labrador_retriever,0.320012,1859,535,8855832,17,Twitter for iPhone,Original tweet,https://t.co/tB9xYjMyZd
6,686730991906516992,2016-01-12 02:06:41+00:00,I just love this picture. 12/10 lovely af https://t.co/Kc84eFNhYU,12.0,10.0,,,https://pbs.twimg.com/media/CYfCMdFWAAA44YA.jpg,Tibetan_mastiff,0.338812,4064,1173,8855832,17,Twitter for iPhone,Original tweet,https://t.co/Kc84eFNhYU
7,687109925361856513,2016-01-13 03:12:26+00:00,This is Baxter. He looks like a fun dog. Prefers action shots. 11/10 the last one is impeccable https://t.co/LHcH1yhhIb,11.0,10.0,Baxter,,https://pbs.twimg.com/media/CYka1NTWMAAOclP.jpg,borzoi,0.883086,5693,2399,8855832,17,Twitter for iPhone,Original tweet,https://t.co/LHcH1yhhIb
8,687124485711986689,2016-01-13 04:10:18+00:00,Say hello to Samson. He's a Firecracker Häagen-Dazs. 11/10 objects in mirror may be more petable than they appear https://t.co/03vR9dn7jy,11.0,10.0,Samson,,https://pbs.twimg.com/media/CYkoE10WEAAWqxm.jpg,beagle,0.000216206,2142,495,8855832,17,Twitter for iPhone,Original tweet,https://t.co/03vR9dn7jy
9,687127927494963200,2016-01-13 04:23:58+00:00,Meet Gordon. He's an asshole. 9/10 would still pet https://t.co/a34N7QwKbb,9.0,10.0,Gordon,,https://pbs.twimg.com/media/CYkrNIVWcAMswmP.jpg,pug,0.178205,5341,2222,8855832,17,Twitter for iPhone,Original tweet,https://t.co/a34N7QwKbb
10,687317306314240000,2016-01-13 16:56:30+00:00,This is Tyrone. He's a leaf wizard. Self-motivated. No eyes (tragic). Inspirational af. 11/10 enthusiasm is tangible https://t.co/pRp1Npucbz,11.0,10.0,Tyrone,,https://pbs.twimg.com/media/CYnXcLEUkAAIQOM.jpg,Shih-Tzu,0.747208,19810,8972,8855832,17,Twitter for iPhone,Original tweet,https://t.co/pRp1Npucbz
11,687460506001633280,2016-01-14 02:25:31+00:00,This is Kramer. He's a Picasso Tortellini. Tie couldn't be more accurate. Confident af. Runs his own business. 10/10 https://t.co/jIcVW0xxmH,10.0,10.0,Kramer,,https://pbs.twimg.com/media/CYpZrtDWwAE8Kpw.jpg,Boston_bull,0.223366,2030,535,8855832,17,Twitter for iPhone,Original tweet,https://t.co/jIcVW0xxmH
12,687480748861947905,2016-01-14 03:45:57+00:00,Another magnificent photo. 12/10 https://t.co/X5w387K5jr,12.0,10.0,,,https://pbs.twimg.com/media/CYpsFmIWAAAYh9C.jpg,English_springer,0.472273,1577,232,8855832,17,Twitter for iPhone,Original tweet,https://t.co/X5w387K5jr
13,687494652870668288,2016-01-14 04:41:12+00:00,This is Marq. He stole this car. 7/10 wtf Marq? https://t.co/MHScqo5l8c,7.0,10.0,Marq,,https://pbs.twimg.com/media/CYp4vFrVAAEs9AX.jpg,Rottweiler,0.391471,1867,563,8855832,17,Twitter for iPhone,Original tweet,https://t.co/MHScqo5l8c
